"Word","AoA_test_min","LgSUBTLWF","Length","Conc.M","SemD","V.Mean.Sum","A.Mean.Sum","Interoceptive.mean","Head.mean","Mouth.mean"
"business",2,4.214,8,3.28,2,5.48,3.71,0.5,2.9,2.35
"businessman",2,2.607,11,4.47,1.86,5.38,3.36,0.125,2.263157895,1.526315789
"bust",6,3.148,4,3.73,1.7,4.77,5.8,0.736842105,1.611111111,0.777777778
"buster",12,2.916,6,2.57,1.46,4.59,3.71,0.5,1.352941176,0.647058824
"bustle",8,1.633,6,2.54,1.68,5.29,4.26,1.294117647,1.285714286,1
"busy",4,3.735,4,2.41,1.93,5.41,4.52,2.15,2.19047619,1.857142857
"butcher",4,2.639,7,4.65,1.78,4.4,4.15,0.0625,2.157894737,0.894736842
"butler",2,2.707,6,4.63,1.85,5.62,2.55,0.157894737,2.55,2
"butt",2,3.294,4,4.75,1.7,5.36,5.2,0.944444444,1.380952381,0.523809524
"butter",2,3.018,6,4.9,1.3,6.36,3.37,0.444444444,2.388888889,4.444444444
"butterfly",2,2.45,9,4.93,1.58,7.23,3.2,0.5625,2.35,0.25
"buttocks",2,1.973,8,4.83,1.28,6.85,5.35,0.882352941,1.5,0.35
"button",2,3.159,6,4.96,1.62,5.48,4.1,0,2.230769231,0.153846154
"buy",2,3.992,3,3.35,1.91,6.82,4.29,1.166666667,2.777777778,1.777777778
"buyer",2,2.423,5,4.36,1.15,5.9,3.95,0.545454545,3,1.904761905
"buzzard",6,1.973,7,4.74,1.01,4.74,5.81,0.294117647,2.684210526,0.526315789
"buzzer",4,2.305,6,4.66,1.44,5.16,5.4,0.315789474,2.666666667,0.333333333
"bystander",6,1.663,9,4.17,1.48,4.68,3.05,0.277777778,1.904761905,1.333333333
"cab",2,3.262,3,4.88,1.41,4.81,4.05,0.684210526,1.45,1.15
"cabbage",2,2.173,7,4.75,1.36,4.6,2.91,0.588235294,1.952380952,4.333333333
"cabin",2,3.001,5,4.92,1.26,5.9,3.74,0.421052632,3.05,1.25
"cabinet",4,2.629,7,4.89,1.47,5.1,3.75,0.0625,2.4,0.65
"cable",4,3.045,5,4.74,1.45,5.9,3.52,0.055555556,1.666666667,0.142857143
"cache",12,1.505,5,3.8,0.91,4.95,4.14,0,1.777777778,0.277777778
"cactus",2,2.173,6,5,1.52,5.11,4,0.411764706,2.764705882,0.823529412
"cadet",6,2.248,5,4.21,1.46,4.8,3.48,0.125,3,1.25
"cafeteria",4,2.462,9,4.71,1.62,5.68,4.08,1.166666667,1.772727273,2.136363636
"caffeine",4,2.179,8,4.04,1.08,6.74,6.23,4.35,2.888888889,4.5
"cage",2,3.015,4,5,1.61,3.11,4.2,0.166666667,2.764705882,0.764705882
"cake",2,3.361,4,4.81,1.38,7.58,5.33,0.888888889,1.842105263,3.894736842
"calamity",8,2.013,8,2,1.82,3.95,5.19,1.866666667,3,1.833333333
"calcium",6,1.959,7,4.07,1.17,5.7,3.14,0.375,2.111111111,3
"calculate",6,2.029,9,2.74,1.62,4.89,3.18,0.8,4.473684211,0.526315789
"calculation",8,1.518,11,3,1.68,5.33,4.48,1.052631579,3.55,1.25
"calculator",8,1.826,10,4.86,1.46,5.86,4.47,0.222222222,3,0.631578947
"calculus",12,1.681,8,2.26,1.44,4,2.73,0.35,4,0.8
"calendar",2,2.561,8,4.62,1.85,5.53,2.9,0.111111111,3.1,0.75
"calf",2,2.182,4,4.48,1.49,5.44,3.7,1.166666667,1.631578947,0.473684211
"call",2,4.643,4,4,2.08,6.18,3.29,0.65,3.421052632,4.578947368
"caller",6,2.348,6,3.96,1.53,5.52,3.41,0.058823529,3.526315789,2.947368421
"calligraphy",14,1.462,11,4.32,1.2,6.8,3.29,0.133333333,2.052631579,0.315789474
"callous",12,1.708,7,2.44,1.7,2.9,3.85,0.75862069,2.676470588,1.558823529
"calm",6,3.657,4,2.83,1.77,6.89,1.67,4.047619048,2.80952381,1.428571429
"camaraderie",12,1.447,11,2.19,1.75,5.85,4.09,2.823529412,2.722222222,3.277777778
"camel",2,2.41,5,4.93,1.65,5.29,3.1,0.263157895,2.157894737,0.473684211
"cameo",10,1.398,5,3.19,1.41,5.86,3.42,0.4375,2.142857143,1
"camera",2,3.464,6,5,1.42,6.61,3.05,0.35,2.75,0.65
"camouflage",6,1.978,10,4.24,1.56,5.85,4.2,0.411764706,2.6,0.45
"camp",2,3.417,4,4.35,1.71,7,4.14,0.473684211,2.857142857,1.476190476
"campaign",4,2.933,8,3,1.78,4.55,3.5,0.9,2.75,2.3
"campus",6,2.738,6,4.64,1.24,6.44,4.17,0.176470588,1.944444444,0.388888889
"can",2,5.428,3,4.55,2.32,6.41,3.14,0.952380952,2.105263158,1.947368421
"canal",4,2.514,5,4.68,1.42,5.71,4.05,0.142857143,1.789473684,1.315789474
"canary",4,2.176,6,4.63,1.74,6.37,3.5,0.066666667,2.476190476,0.380952381
"cancel",6,2.97,6,2.41,1.85,3.61,4.29,0.9375,1.7,1.5
"cancellation",8,1.819,12,2.1,1.56,3.74,3.9,0.5,1.742857143,1.314285714
"candid",14,2.013,6,1.81,1.79,5.58,4,1.117647059,2.681818182,3.090909091
"candidacy",6,1.518,9,2.39,1.08,4.8,3.05,0.5625,3,1.75
"candidate",6,2.639,9,3.81,1.45,4.5,5.32,0.714285714,2.473684211,1.526315789
"candle",2,2.613,6,4.86,1.54,6.14,3.81,0.411764706,3.368421053,0.578947368
"candlelight",2,1.935,11,4.48,1.47,6.63,3.22,0.258064516,3.363636364,0.03030303
"candlestick",6,1.415,11,4.93,1.48,5.95,3.55,0.055555556,1.5,0.166666667
"candy",2,3.261,5,4.83,1.39,7.27,5.03,0.882352941,1.7,4.55
"cane",2,2.629,4,4.87,1.69,4.64,3,0.176470588,0.578947368,0.052631579
"canine",12,1.94,6,4.71,0.82,6.22,4.76,0.473684211,1.25,1.15
"canister",8,1.869,8,4.93,1.15,4.84,3,0.157894737,1.7,0.2
"canned",2,2.332,6,3.68,1.31,4.32,3,0.1875,2.15,0.85
"cannibal",8,1.756,8,3.82,1.27,2.9,6.1,0.117647059,2.25,3.25
"cannibalism",6,1.477,11,3.07,1.35,2.32,6.05,1.684210526,1.7,3.1
"cannon",2,2.648,6,4.79,1.56,4.74,5.09,0.6,1.428571429,0.428571429
"canoe",4,2.263,5,4.86,1.2,5.76,3.7,0.444444444,1.8,0.35
"canon",12,1.708,5,4.56,1.39,4.9,5.86,0.542857143,2.789473684,0.736842105
"canopy",8,1.94,6,4.52,1.4,6,3,0,2.25,0.25
"canteen",2,1.944,7,4.88,1.58,5.05,3.2,0.071428571,2.055555556,3
"canvas",4,2.337,6,4.78,1.35,5.67,2.7,0.166666667,2.052631579,0.315789474
"canvass",12,1.699,7,4.08,1.51,5.4,3.25,0.526315789,2.111111111,0.5
"canyon",2,2.622,6,4.81,1.29,5.5,3.9,0.722222222,2.6875,0.5625
"cap",2,2.981,3,4.59,1.82,5,3.27,0.631578947,3.05,0.2
"capability",10,1.851,10,1.93,1.72,6.63,4.29,1.666666667,2.75,1.45
"capable",4,3.026,7,2.21,2.14,7.05,4,1.55,2.428571429,2.095238095
"capacity",6,2.617,8,3.1,2.08,5.14,3.67,1.210526316,2.55,1.4
"caper",10,1.959,5,3.74,1.48,4.9,3.9,0.733333333,2.75,1.55
"capital",4,2.812,7,4.1,1.81,5.29,3.14,0.133333333,2.235294118,0.941176471
"capitalism",13,1.716,10,1.96,1.06,3.62,5.39,0.722222222,3.15,1.85
"capitalist",10,1.898,10,2.89,1.07,5.24,3.08,0.470588235,2.368421053,1.947368421
"capitalize",4,1.398,10,2.29,1.77,5.95,3.91,0.578947368,2.095238095,0.666666667
"capsule",4,2.117,7,4.52,1.49,5.6,3.45,0.5625,1.428571429,2.523809524
"captain",2,4.026,7,4.19,1.5,5.71,3.86,0.1875,3.05,2.15
"captive",6,2.068,7,3.03,1.75,3.27,4.88,0.235294118,2.25,1.5
"captivity",6,1.813,9,2.76,1.38,3.14,5.09,1.052631579,2,1.75
"capture",4,2.733,7,3.21,1.98,5.05,5.43,1,2.8,1.55
"car",2,4.392,3,4.89,1.69,6.63,4.04,0.444444444,3.473684211,0.421052632
"caramel",4,1.806,7,4.73,1.07,6.68,4.29,0.529411765,1.8,3.45
"caravan",6,1.875,7,4.37,1.66,5.86,3.8,0.526315789,1.368421053,0.210526316
"carbon",6,2.428,6,4.22,1.19,4.5,4.05,0.736842105,1.380952381,1.333333333
"carcass",10,1.903,7,4.46,1.42,2.85,4.85,0.322580645,1.64516129,0.612903226
"card",2,3.639,4,4.9,1.67,5.5,2.67,0.15,1.5,0.55
"cardboard",2,2.143,9,4.9,1.6,4.71,2.25,0,1.857142857,0.19047619
"cardiac",10,2.308,7,2.81,1.01,3.73,4.9,4.083333333,0.65,0.5
"cardigan",14,1.477,8,4.96,1.42,5.95,3.24,0.35,1.619047619,0.19047619
"cardinal",4,2.32,8,4.74,1.4,6.14,4.21,0,3.315789474,1
"care",2,4.394,4,2.33,1.84,7.64,2.67,2.526315789,3.052631579,1.842105263
"career",6,3.363,6,2.54,1.76,6.11,4.24,0.857142857,3.714285714,2.047619048
"carefree",4,1.845,8,1.88,1.77,7.32,4.15,2.583333333,2.761904762,1.380952381
"careful",2,3.744,7,1.86,2.11,6.32,2.95,2.555555556,2.789473684,1.684210526
"careless",2,2.401,8,1.78,1.85,3.53,4.27,1.9375,3.461538462,1.769230769
"carelessness",2,1.532,12,1.76,1.81,3.76,3.96,1.375,3.1,2.3
"caress",8,1.845,6,4.14,0.9,6.82,4.6,2.636363636,1.368421053,0.526315789
"caretaker",6,2.1,9,4.24,1.65,6.17,3.4,0.555555556,2.2,0.9
"cargo",4,2.663,5,4.62,1.32,5.21,2.68,0.294117647,2.1,0.65
"carnage",14,1.763,7,3.48,1.47,3.3,5.77,0.75,2.85,0.75
"carnal",12,1.792,6,2.72,1.3,5.16,6.24,3.466666667,3.176470588,1.882352941
"carnation",2,1.643,9,3.93,1.45,5.75,3.68,0.25,2.058823529,0.352941176
"carnival",4,2.561,8,4.68,1.63,6.48,5.22,0.5,3,2.315789474
"carnivorous",10,1.431,11,2.85,0.98,4.52,4.48,1.235294118,2.380952381,3.238095238
"carousel",12,1.869,8,4.93,1.68,6.7,4.43,1.789473684,2.333333333,0.388888889
"carp",8,1.602,4,4.62,0.75,4.55,4.31,0.526315789,0.947368421,1.526315789
"carpenter",2,2.487,9,4.41,1.67,5.94,3.05,0,2.25,0.4
"carpentry",6,1.38,9,3.48,1.51,4.87,4,0.263157895,3.333333333,1
"carpet",2,2.775,6,4.96,1.49,5.95,2.77,0.625,1.473684211,0.263157895
"carpeting",6,1.477,9,4.21,1.42,5.16,3,0.75,2.05,0.45
"carriage",2,2.582,8,4.86,1.39,6.1,2.52,0.058823529,2.263157895,0.052631579
"carrier",6,2.514,7,4.2,1.71,5.19,2.96,0.263157895,1.105263158,0.578947368
"carrot",2,2.292,6,5,1.54,5.79,3.91,0.888888889,1.904761905,4.523809524
"carry",2,3.527,5,4.04,2.23,5.67,3.47,0.761904762,1.238095238,0.238095238
"cart",2,2.665,4,4.89,1.43,5.37,3.18,0.210526316,1.3,0
"cartel",14,1.819,6,3.3,1.17,3.7,3.76,0.2,2.315789474,1.526315789
"cartilage",8,1.58,9,4.71,1.1,4.17,3.53,1.111111111,3.047619048,1.428571429
"carton",4,1.987,6,5,1.52,5.3,3.41,0.176470588,1.761904762,0.904761905
"cartoon",2,2.286,7,4.33,1.61,6.74,5.05,0.3,3.428571429,0.857142857
"cartridge",4,1.699,9,4.78,1.47,5.05,3.06,0,1.444444444,0.277777778
"carve",2,2.201,5,3.69,1.62,5.09,4.13,0.411764706,2.210526316,0.315789474
"cascade",10,1.518,7,3.83,1.67,6.24,3.59,0.875,2,0.3
"case",2,4.159,4,3.93,2.24,5.18,4.14,0,1.727272727,0.363636364
"cash",2,3.568,4,4.48,1.78,7.51,6.59,0.3125,1.904761905,0.238095238
"cashier",4,2.225,7,4.89,1.4,5.1,3.45,0.25,2.714285714,2
"cashmere",8,1.892,8,4.72,1.17,6.62,3.8,0.611111111,1,0.285714286
"casing",8,1.987,6,4.28,1.42,4.3,2.95,0.4,2.263157895,0.578947368
"casino",6,3.017,6,4.77,1.51,4.68,6.05,0.794117647,2.939393939,1.939393939
"casket",6,2.212,6,4.86,1.39,2.42,4.82,0.5625,1.65,0.6
"casserole",4,1.935,9,4.87,0.88,6,3,0.684210526,1.571428571,3.80952381
"cassette",8,1.973,8,4.6,1.33,5.36,3.77,0.368421053,2.80952381,0.285714286
"cast",4,3.072,4,3.92,1.86,5.26,3.55,0.764705882,1.785714286,0.928571429
"caste",12,1.653,5,2.67,1.28,4,3.38,0.454545455,1.071428571,0.071428571
"castle",2,3.041,6,4.96,1.5,6.42,4.72,0.05,1.526315789,0.315789474
"casual",8,2.573,6,2.03,1.82,6.05,3,1.052631579,1.263157895,0.842105263
"casualty",10,2.143,8,2.85,1.68,3.33,6.3,1.125,2.411764706,1.647058824
"cat",2,3.529,3,4.86,1.61,6.95,4.5,0.105263158,2.842105263,0.578947368
"catalyst",12,1.613,8,2.85,1.76,5.3,3.38,0.833333333,1.736842105,0.894736842
"catapult",8,1.505,8,4.43,1.41,5.25,5.52,0.277777778,1.684210526,0.631578947
"catastrophe",10,2.104,11,2.96,1.84,2.7,5.64,1,3,2
"catch",2,3.84,5,4.11,1.88,5.64,4,0.411764706,2.105263158,0.421052632
"catcher",4,2.283,7,4.44,1.5,5.39,3.26,0.421052632,2.833333333,0.944444444
"catchy",6,2.041,6,1.79,0.99,5.22,4,1.315789474,2.473684211,1.157894737
"category",8,2.318,8,2.82,1.94,5.05,2.67,0.888888889,2,1.368421053
"cater",10,1.813,5,3.07,1.88,5.73,3.45,0.833333333,1.409090909,1.454545455
"caterer",12,2.029,7,4.37,0.89,6.16,3.76,0.5,1.842105263,1.210526316
"caterpillar",4,1.763,11,4.87,1.2,5.25,3.24,0.055555556,1.363636364,0.272727273
"catfish",2,1.806,7,4.85,0.36,5.24,4.26,0.15,1.80952381,2.142857143
"cathedral",6,2.281,9,4.86,1.39,6,3.45,0.315789474,2.5,0.8
"catheter",13,1.748,8,4.48,0.87,2.84,3.77,2.117647059,1,0.380952381
"cattle",2,2.829,6,4.64,1.26,5.42,2.64,0.058823529,2.380952381,0.857142857
"catwalk",10,1.568,7,4.15,1.2,5.65,4.52,0.1,1.421052632,0.368421053
"cauldron",12,1.398,8,4.61,1.68,4.91,4.41,0,1.285714286,0.333333333
"cauliflower",4,1.462,11,5,1.01,5.35,2.29,0.625,2,4.2
"cause",2,4.199,5,2.43,2.13,5.14,3.48,0.777777778,2.526315789,1.789473684
"caution",4,2.422,7,2.04,2.11,3.29,4,2.375,3.047619048,1.80952381
"cautious",6,2.236,8,1.81,2.08,6.05,3.57,2.28,3.318181818,2.136363636
"cavalier",10,1.785,8,2.63,1.66,5.48,4,1.533333333,2.857142857,0.857142857
"cavalry",4,2.502,7,4.08,1.08,5.05,4.18,0.368421053,1.722222222,0.833333333
"cave",2,2.854,4,4.96,1.54,5.15,4.39,0.294117647,2.263157895,0.263157895
"cavern",6,1.756,6,4.57,1.28,5.38,3.63,0.411764706,1.823529412,0.411764706
"caviar",10,2.292,6,4.7,1.53,5.53,3.8,0.2,2.05,3.45
"cavity",6,2.185,6,4.5,1.45,2.6,4.77,1.611111111,1.105263158,4.105263158
"cease",8,2.649,5,2.39,2.09,3.95,3.64,0.736842105,2.684210526,2.157894737
"cedar",6,2.107,5,4.83,1.48,6.32,3.21,0,2.705882353,0.647058824
"ceiling",2,2.63,7,4.85,1.58,5.39,2.75,0.041666667,2.35,0.45
"celebrate",2,3.103,9,2.9,1.86,7.84,6.73,2,3.105263158,2.578947368
"celebration",2,2.703,11,3.47,1.81,7.53,5.9,2.235294118,3.4375,3.5625
"celebrity",6,2.572,9,3.28,1.55,5.42,4.86,0.166666667,3.05,1.1
"celery",4,1.982,6,4.8,0.64,5.71,2.81,0.631578947,1.263157895,2.684210526
"celestial",10,1.748,9,2.86,1.33,6.76,4.68,0.53125,2.75,0.4
"celibacy",14,1.643,8,2.4,1.18,3.85,2.71,2.85,2.052631579,0.842105263
"celibate",13,1.568,8,2.84,1.27,3.72,3,1.823529412,1.6,1.5
"cell",4,3.443,4,4.44,1.33,4.09,4.23,0.6875,2.125,1.0625
"cellar",2,2.68,6,4.68,1.61,4.7,3.14,0.142857143,2.65,0.5
"cello",6,1.982,5,4.96,0.76,5.75,3.83,0.277777778,2.368421053,0.526315789
"cellophane",4,1.633,10,4.54,1.5,5.05,3.64,0.071428571,1.388888889,0.277777778
"cellular",8,2.164,8,3.11,1.22,5.68,3.67,0.3,2.421052632,2
"celluloid",8,1.398,9,3.74,0.97,4.3,2.71,0.733333333,1.5,0.3125
"cement",6,2.371,6,4.97,1.66,4.62,3.28,0.105263158,1.3,0.3
"cemetery",4,2.647,8,4.93,1.5,3.49,4.1,1.470588235,2.363636364,0.590909091
"censor",8,1.633,6,3,1.51,4.1,4.45,0.444444444,2.545454545,1.954545455
"censorship",8,1.74,10,1.79,1.36,3.43,4.25,0.368421053,2.75,2.5
"census",8,1.851,6,3.3,1.3,4.91,3.54,0.375,1.3,0.4
"cent",2,2.685,4,4.19,1.75,5.37,3.76,0.315789474,2.647058824,0.823529412
"central",6,3.101,7,2.71,2.13,5.33,3.5,1.357142857,1.789473684,0.842105263
"century",4,3.027,7,2.83,1.8,5.36,3.19,0.55,1.05,0.65
"ceramic",10,1.799,7,4.04,1.35,5.74,3.57,0,2.2,0.35
"cereal",2,2.512,6,4.83,1.27,6.45,3.05,0.647058824,1.333333333,3.722222222
"cerebral",8,2.017,8,2.22,1.25,4.95,3.7,1.764705882,3.944444444,0.722222222
"ceremonial",6,1.851,10,2.24,1.66,5.67,4.4,1.157894737,2.80952381,1.761904762
"ceremony",6,2.907,8,3.57,1.73,6.38,3.83,0.941176471,2.894736842,2
"certain",4,3.639,7,1.68,2.19,6.11,3,2.625,2.65,0.95
"certainty",6,2.19,9,1.59,1.92,6.38,4.35,2.411764706,3.142857143,2.142857143
"certificate",6,2.662,11,4.59,1.48,6,3.61,0.444444444,2.5,0.3
"certified",8,2.143,9,2.52,1.67,6.06,4.57,0.263157895,2.35,0.7
"certify",6,1.415,7,2.55,1.5,5.89,3.62,0.411764706,2.263157895,1.368421053
"cervical",12,1.556,8,3.59,1.16,4.67,5,0.9375,0.454545455,0.181818182
"cervix",13,1.342,6,4.62,0.76,4.45,4.58,1.619047619,1.157894737,0.105263158
"chain",2,3.035,5,4.55,1.89,4.79,4.05,0,0.857142857,0.238095238
"chair",2,3.4,5,4.58,1.64,5.89,2.86,0,2.157894737,0.315789474
"chairman",4,2.783,8,4.31,1.74,5.57,3.55,0.222222222,2.684210526,1.473684211
"chalet",14,1.431,6,4.36,1.18,5.1,3.83,0.259259259,1.9375,0.75
"chalice",12,1.518,7,4.83,1.47,5.19,3.48,0.25,1.315789474,2.526315789
"chalk",2,2.265,5,4.9,1.65,5,2.9,0.272727273,1.80952381,0.523809524
"challenge",4,3.006,9,2.11,2.07,5.95,5.25,3.235294118,3.666666667,1.888888889
"challenger",6,1.892,10,2.68,1.39,5.33,4.74,1,2.575757576,1.878787879
"chamber",6,2.814,7,4.59,1.65,4.73,4.58,0,1,0.428571429
"chameleon",12,1.58,9,4.68,1.68,6.3,4.19,0.529411765,1.95,0.25
"champ",2,2.888,5,3.29,1.23,6.35,5.04,0.933333333,2.761904762,1.714285714
"champagne",6,3.203,9,4.82,1.4,6.86,3.8,1.722222222,1.95,3.75
"champion",4,3.029,8,3.82,1.24,7.33,4.74,1.35,3.181818182,1.818181818
"championship",4,2.7,12,3.23,1.15,6.74,6.9,0.882352941,2.5,1.272727273
"chance",4,4.09,6,1.64,2.08,6.05,4.3,1.972222222,2.567567568,0.324324324
"chancellor",8,2.324,10,4.2,1.38,4.91,3.67,0.25,1.55,1.25
"chandelier",4,1.863,10,4.79,1.25,6.47,3.88,0.176470588,2.681818182,0.227272727
"change",2,4.088,6,2.89,2.18,5.09,4.05,1.777777778,2.5,2.05
"channel",2,3.095,7,4.18,1.72,5.67,2.68,0.705882353,2.8,1.35
"chant",10,2.068,5,4,1.57,4.32,3.29,0.105263158,1.631578947,4.315789474
"chaos",10,2.681,5,2.79,1.83,2.84,6.31,2.15,3.736842105,1.526315789
"chap",4,2.512,4,3.9,1.51,5.1,2.54,0.823529412,0.857142857,1.571428571
"chapel",4,2.61,6,4.6,1.39,6.67,2.45,0.388888889,2.263157895,1.157894737
"chaplain",4,2.068,8,4.33,1.23,5.1,3.56,0.6875,2.133333333,0.866666667
"chapter",4,2.782,7,3.43,1.91,5.7,3.86,0.222222222,2.210526316,0.526315789
"character",6,3.289,9,2.93,1.87,6.14,4.35,1.111111111,2.333333333,1.571428571
"characteristic",8,1.785,14,2.38,1.92,5.57,4.24,1.117647059,2.4,1.1
"characterize",10,1.556,12,2,1.69,5.5,3.24,0.9375,2.35,1.55
"charade",8,2.053,7,1.93,1.63,3.95,4.23,0.588235294,2.666666667,1.904761905
"charcoal",4,1.959,8,4.85,1.6,6.2,2.86,0.277777778,1.666666667,0.142857143
"charge",2,3.659,6,2.96,1.98,4.61,4.25,0.538461538,1.722222222,0.722222222
"charger",6,1.799,7,4.39,1.43,5.28,3.59,0.277777778,2.052631579,0.526315789
"chariot",6,2.017,7,4.86,1.19,6.11,4.11,0.333333333,2.523809524,0.285714286
"charisma",10,1.708,8,2.07,1.71,6.5,5.05,1.529411765,3.052631579,2.421052632
"charitable",6,2.021,10,2.13,1.66,7.33,3.5,1.551724138,1.588235294,0.764705882
"charity",4,2.925,7,2.62,1.67,6.85,3.22,1.157894737,2.611111111,1
"charm",2,2.9,5,2.76,1.71,7.34,4.51,1.631578947,2.105263158,1.894736842
"charmer",10,1.806,7,2.54,1.54,6.53,4.79,0.705882353,2.8,2
"charming",8,3.157,8,2.14,1.64,7.05,5,2.3,3.35,3.3
"chart",4,2.685,5,4.48,1.69,5.35,3.1,0.411764706,3.555555556,1.055555556
"charter",8,2.182,7,3.15,1.71,5.55,3.84,0.125,2.666666667,1.277777778
"chase",2,3.224,5,3.48,1.69,3.77,6.6,0.470588235,1.523809524,0.238095238
"chaser",10,1.826,6,3.35,0.97,4.72,4.89,1.692307692,2.25,1.8
"chaste",12,1.491,6,2.14,1.52,5.81,3.5,0.769230769,2.375,1.25
"chastity",12,1.875,8,2,1.16,4,4.52,2.421052632,2.15,1.2
"chat",4,2.92,4,3.66,1.72,5.75,4.27,0.486486486,3.263157895,4.684210526
"chateau",13,2.114,7,4.39,1.29,6.21,3.45,0.866666667,2.117647059,0.823529412
"chatter",4,2.378,7,3.33,1.63,5.9,4.44,0.222222222,1.904761905,3.476190476
"chatty",6,1.716,6,2.76,1.69,4.42,4.59,0.5,2.476190476,4.333333333
"chauffeur",6,2.459,9,4.43,1.53,5.42,4.7,0.0625,1.9,0.7
"cheap",2,3.267,5,2.11,1.95,5.24,4.47,0.3125,3.105263158,0.736842105
"cheat",2,2.955,5,2.23,1.85,3.05,4.91,1.588235294,2.55,1.55
"check",2,4.153,5,4.11,1.91,6.55,3.38,0.3,2.388888889,1.333333333
"checker",2,1.756,7,4.04,1,4.94,3.68,0.166666667,2.789473684,0.526315789
"cheek",2,2.563,5,4.83,1.43,5.9,3.47,1.105263158,3.157894737,1.631578947
"cheeky",12,1.813,6,2.03,1.58,5.7,5.47,1.333333333,2.777777778,3
"cheer",2,2.979,5,2.77,1.79,7.1,5.33,1.7,2.65,3.8
"cheerful",2,2.281,8,2.34,1.76,8,5.76,2.894736842,3.35,3.15
"cheery",2,1.74,6,2.64,1.69,7.21,5.86,3.222222222,3.294117647,2.411764706
"cheese",2,3.299,6,4.7,1.39,6.81,3.8,0,2.35,4.05
"cheetah",8,2.072,7,4.7,1.09,6.27,5.31,0.058823529,2.545454545,0.636363636
"chef",6,2.783,4,4.3,1.29,6.15,3.05,0.473684211,3.19047619,2.571428571
"chemical",2,2.763,8,3.86,1.45,4.89,3.41,1,2.636363636,2
"chemist",6,1.982,7,4.24,1.37,4.95,3.95,0.055555556,1.789473684,0.631578947
"chemistry",6,2.646,9,3.64,1.25,5.74,4.59,1.75,3.047619048,1.19047619
"chemotherapy",10,1.778,12,4.35,1.03,2.25,5.05,3.210526316,2.904761905,1.523809524
"cherish",6,2.358,7,1.73,1.76,6.75,4.14,2.578947368,2.263157895,2
"cherry",2,2.841,6,4.62,1.67,7.05,4.91,0.5,1.095238095,3.333333333
"chess",4,2.581,5,4.7,1.66,5.05,2.86,0.117647059,3.75,1.35
"chest",2,3.32,5,4.93,1.54,5.18,4.95,0.6875,1.697674419,0.511627907
"chestnut",2,1.819,8,4.7,1.53,5.68,3.43,0.058823529,1.142857143,2.238095238
"chew",2,2.666,4,3.93,1.65,5.58,3.8,2.5,1.318181818,4.772727273
"chic",13,2.079,4,2.26,1.31,6.47,5.1,0.071428571,2.388888889,1.333333333
"chick",2,3.126,5,4.93,1.25,5.86,4.04,0.294117647,2.222222222,0.944444444
"chicken",2,3.498,7,4.8,1.51,6.17,3.2,0.578947368,2.666666667,3.238095238
"chief",2,3.599,5,4.26,1.91,5.83,3.25,0,2.857142857,1.380952381
"chiffon",8,1.415,7,4.45,0.99,6,4.68,0.071428571,0.75,0.1875
"child",2,3.905,5,4.78,1.62,7.2,5.33,0.866666667,2.4,1.75
"childbirth",4,1.898,10,4.04,1.18,6.62,5.62,3.941176471,1.684210526,0.842105263
"childhood",2,2.86,9,2.53,1.57,6.65,3.73,2.470588235,2.952380952,1.285714286
"childish",4,2.4,8,2.52,1.63,4.89,5,1.777777778,2.473684211,2.421052632
"childless",6,1.491,9,3.07,1.37,3.57,3.29,0.941176471,2.05,1.15
"childlike",4,1.518,9,2.34,1.75,5.9,5.15,2.55,2.9,1.75
"children",2,3.951,8,4.89,1.82,6.36,5.09,0.631578947,2.578947368,1.578947368
"chill",12,2.919,5,2.89,1.5,5.16,3.25,3.666666667,2.424242424,1.181818182
"chilling",10,1.919,8,2.74,1.85,4.67,5.64,2.777777778,2.736842105,0.684210526
"chilly",4,2.344,6,3.56,1.62,4.41,5,4.05,3.25,2.05
"chime",6,1.681,5,4.4,1.47,6.05,4.1,0.058823529,3.181818182,0.636363636
"chimney",2,2.33,7,5,1.43,4.89,2.45,0.529411765,2.523809524,0.333333333
"chimp",2,2.188,5,4.96,1.24,6,3.8,0.058823529,3,0.3
"chimpanzee",2,1.799,10,4.96,0.86,6.39,3.9,0.333333333,3.4,1.4
"chin",2,2.812,4,4.89,1.44,5.07,3.84,0.222222222,2.15,3.6
"chip",2,3.022,4,4.71,1.23,6.32,2.75,0.35,1.523809524,2.428571429
"chisel",4,1.663,6,4.63,1.05,5.25,3.55,0.684210526,1.947368421,0.157894737
"chivalry",10,1.792,8,1.88,1.38,6.7,3.95,0.882352941,2.95,2.6
"chloride",6,1.672,8,3.74,1.11,4.32,4.36,0.647058824,1.111111111,0.944444444
"chlorine",8,1.591,8,4.5,1.03,3.84,4.43,0.611111111,2.894736842,2
"chloroform",8,1.716,10,3.78,1.22,3,6.15,1.421052632,2.3125,2.5
"chocolate",2,3.176,9,4.72,1.47,7.63,5.14,1.111111111,2.3,4.5
"choice",4,3.697,6,1.9,2.11,6.36,3.52,1.636363636,3.709677419,1.774193548
"choir",6,2.435,5,4.34,1.17,6.15,3.29,0.894736842,2.352941176,3.647058824
"choke",2,2.52,5,3.97,1.74,2.42,5.3,3.333333333,2.75,4.05
"cholera",10,1.756,7,3.26,1.29,2.68,4,2.076923077,2.066666667,2.133333333
"cholesterol",8,1.982,11,3.4,0.92,3.76,3.05,2,1.095238095,1.666666667
